garment_path,split,garment_id,max_token_length,drape_failed,has_digit_in_panel_name,panel_count
garments_5000_0/default_body/rand_RVS1QWPXD0,test,rand_RVS1QWPXD0,815,False,False,14
garments_5000_0/default_body/rand_M4Z0YOEJ6V,test,rand_M4Z0YOEJ6V,1123,False,False,16
garments_5000_0/default_body/rand_E489IFV849,test,rand_E489IFV849,774,False,False,20
garments_5000_0/default_body/rand_TNYM41T44B,test,rand_TNYM41T44B,484,False,False,8
garments_5000_0/default_body/rand_H1HW5UW5S7,test,rand_H1HW5UW5S7,1100,False,False,22
garments_5000_0/default_body/rand_S2WE06BG7D,test,rand_S2WE06BG7D,1456,False,True,16
garments_5000_0/default_body/rand_RUR0VN9O5G,test,rand_RUR0VN9O5G,664,False,False,6
garments_5000_0/default_body/rand_7PYIP67HEM,test,rand_7PYIP67HEM,551,False,False,12
garments_5000_0/default_body/rand_JUWU7AD5R2,test,rand_JUWU7AD5R2,572,False,False,12
garments_5000_0/default_body/rand_6BI9U56FFF,test,rand_6BI9U56FFF,534,False,False,6
garments_5000_0/default_body/rand_TRUD819TCZ,test,rand_TRUD819TCZ,486,False,False,12
garments_5000_0/default_body/rand_YW7F9M16Z6,test,rand_YW7F9M16Z6,990,False,False,18
garments_5000_0/default_body/rand_OXI3X7VXX0,test,rand_OXI3X7VXX0,530,False,False,8
garments_5000_0/default_body/rand_5UTI4KFRVK,test,rand_5UTI4KFRVK,854,False,True,17
garments_5000_0/default_body/rand_14S3RGMSRG,test,rand_14S3RGMSRG,1351,False,False,24
garments_5000_0/default_body/rand_3AKUJSCM6T,test,rand_3AKUJSCM6T,922,False,False,16
garments_5000_0/default_body/rand_HGVXYLC30G,test,rand_HGVXYLC30G,1140,False,True,24
garments_5000_0/default_body/rand_UZ8P9JK598,test,rand_UZ8P9JK598,473,False,False,10
garments_5000_0/default_body/rand_9P01LN7D0J,test,rand_9P01LN7D0J,65,False,False,2
garments_5000_0/default_body/rand_YEXSJ41N6E,test,rand_YEXSJ41N6E,491,False,False,12
garments_5000_0/default_body/rand_NHV90PKX20,test,rand_NHV90PKX20,495,False,False,12
garments_5000_0/default_body/rand_KFFMSBTCLN,test,rand_KFFMSBTCLN,173,False,False,4
garments_5000_0/default_body/rand_TS9D4MMWNE,test,rand_TS9D4MMWNE,354,False,False,4
garments_5000_0/default_body/rand_140SIPQZRC,test,rand_140SIPQZRC,732,False,False,16
garments_5000_0/default_body/rand_RE9P7AIBCO,test,rand_RE9P7AIBCO,521,False,True,8
garments_5000_0/default_body/rand_3T2IO849QH,test,rand_3T2IO849QH,639,False,False,10
garments_5000_0/default_body/rand_RCNA20IKGY,test,rand_RCNA20IKGY,69,True,False,2
garments_5000_0/default_body/rand_9SNUECZ0ZC,test,rand_9SNUECZ0ZC,149,False,False,4
garments_5000_0/default_body/rand_G9ZOGMVY3A,test,rand_G9ZOGMVY3A,694,False,False,10
garments_5000_0/default_body/rand_4CZ61SD6AE,test,rand_4CZ61SD6AE,561,False,False,10
garments_5000_0/default_body/rand_18GU2GADHJ,test,rand_18GU2GADHJ,576,False,False,6
garments_5000_0/default_body/rand_AF0IA8S719,test,rand_AF0IA8S719,934,False,True,16
garments_5000_0/default_body/rand_7OIAYPLS8E,test,rand_7OIAYPLS8E,1014,False,False,18
garments_5000_0/default_body/rand_NFO2MFC6OH,test,rand_NFO2MFC6OH,187,False,False,2
